name,result,run_time,population_size_per_genetic_algorithm,epoch_threshold,crossover_probability,mutation_probability,number_of_depots,number_of_customers
GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS,1921.8511640262582,0.10720992088317871,5,10,0.2,0.01,5,7
GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION,2124.9290140760813,0.10671496391296387,5,10,0.2,0.01,5,7
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS,1881.3461953672283,0.11170077323913574,5,10,0.2,0.01,5,7
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION,1834.4493085920883,0.10970664024353027,5,10,0.2,0.01,5,7
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS,1821.5627626295159,0.10553956031799316,5,10,0.2,0.01,5,7
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,1650.1356563409142,0.11070370674133301,5,10,0.2,0.01,5,7
WisdomOfCrowds_GeneticAlgorithm|GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS|GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,1856.570409679472,0.6781854629516602,5,10,0.2,0.01,5,7
GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS,1991.3965597781132,0.10175704956054688,5,10,0.2,0.1,5,7
GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION,1683.7871797465166,0.10773944854736328,5,10,0.2,0.1,5,7
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS,1824.8825329258239,0.10671401023864746,5,10,0.2,0.1,5,7
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION,1887.1719249948671,0.10571694374084473,5,10,0.2,0.1,5,7
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS,2000.100009562859,0.10671472549438477,5,10,0.2,0.1,5,7
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,1883.1960715717064,0.10671544075012207,5,10,0.2,0.1,5,7
WisdomOfCrowds_GeneticAlgorithm|GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS|GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,1902.874033164451,0.6809604167938232,5,10,0.2,0.1,5,7
GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS,1919.4016232973215,0.11472225189208984,5,10,0.2,0.25,5,7
GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION,1870.8762166964848,0.12264513969421387,5,10,0.2,0.25,5,7
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS,1736.80890787239,0.1311335563659668,5,10,0.2,0.25,5,7
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION,1878.9607989179383,0.12197208404541016,5,10,0.2,0.25,5,7
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS,1897.9926665943733,0.11929607391357422,5,10,0.2,0.25,5,7
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,2034.601398876714,0.13208556175231934,5,10,0.2,0.25,5,7
WisdomOfCrowds_GeneticAlgorithm|GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS|GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,1779.0806953283181,0.750990629196167,5,10,0.2,0.25,5,7
GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS,1818.7963559595923,0.12622427940368652,5,10,0.2,0.5,5,7
GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION,1962.4824763649844,0.1397843360900879,5,10,0.2,0.5,5,7
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS,1980.5330653459314,0.12868285179138184,5,10,0.2,0.5,5,7
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION,1877.937664795272,0.12865519523620605,5,10,0.2,0.5,5,7
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS,1754.650495155892,0.12765908241271973,5,10,0.2,0.5,5,7
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,1757.615649977226,0.14458465576171875,5,10,0.2,0.5,5,7
WisdomOfCrowds_GeneticAlgorithm|GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS|GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,1818.034409152737,0.8199386596679688,5,10,0.2,0.5,5,7
GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS,1419.0783736345961,0.4346637725830078,5,10,0.4,0.01,5,7
GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION,1592.3688767374824,0.48675537109375,5,10,0.4,0.01,5,7
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS,1623.0556107987766,0.3690063953399658,5,10,0.4,0.01,5,7
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION,1434.9413411309556,0.3999161720275879,5,10,0.4,0.01,5,7
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS,1661.4900109821485,0.5058164596557617,5,10,0.4,0.01,5,7
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,1571.4664150068293,0.4859600067138672,5,10,0.4,0.01,5,7
WisdomOfCrowds_GeneticAlgorithm|GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS|GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,1785.614231893806,2.4542644023895264,5,10,0.4,0.01,5,7
GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS,1646.4962865962946,0.4790372848510742,5,10,0.4,0.1,5,7
GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION,1609.7223455477492,0.35377955436706543,5,10,0.4,0.1,5,7
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS,1608.7439033627702,0.3370084762573242,5,10,0.4,0.1,5,7
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION,1619.9983972590835,0.4611787796020508,5,10,0.4,0.1,5,7
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS,1677.1728786227645,0.41202211380004883,5,10,0.4,0.1,5,7
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,1692.1606875089742,0.4524574279785156,5,10,0.4,0.1,5,7
WisdomOfCrowds_GeneticAlgorithm|GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS|GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,1647.536526563749,2.574251413345337,5,10,0.4,0.1,5,7
