name,result,run_time,population_size_per_genetic_algorithm,epoch_threshold,crossover_probability,mutation_probability,number_of_depots,number_of_customers
GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS,581.0605337819886,0.45481014251708984,10,25,0.2,0.01,1,14
GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION,640.3559707683121,0.46033501625061035,10,25,0.2,0.01,1,14
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS,579.2223178468874,0.813589334487915,10,25,0.2,0.01,1,14
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION,550.9099608555528,0.4587440490722656,10,25,0.2,0.01,1,14
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS,543.920939435254,1.4482638835906982,10,25,0.2,0.01,1,14
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,564.7268794877125,0.4084737300872803,10,25,0.2,0.01,1,14
WisdomOfCrowds_GeneticAlgorithm|GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS|GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,716.8036807740933,4.480008840560913,10,25,0.2,0.01,1,14
GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS,624.3013072526587,0.5577352046966553,10,25,0.2,0.1,1,14
GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION,591.0477049027298,0.8756332397460938,10,25,0.2,0.1,1,14
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS,560.0668664599254,0.8982939720153809,10,25,0.2,0.1,1,14
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION,554.4390577220646,0.6672468185424805,10,25,0.2,0.1,1,14
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS,595.1200208620485,0.669370174407959,10,25,0.2,0.1,1,14
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,519.7490293404172,0.659207820892334,10,25,0.2,0.1,1,14
WisdomOfCrowds_GeneticAlgorithm|GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS|GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,463.10557419508694,5.720414638519287,10,25,0.2,0.1,1,14
AVERAGE_FOR_ALGORITHMS,558.2613658192759,1.4354145526885986,10,25,0.2,0.1,1,14
GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS,598.1628961486156,0.6760015487670898,10,25,0.2,0.25,1,14
GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION,581.6416677620144,0.536139726638794,10,25,0.2,0.25,1,14
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS,575.7403154239556,0.9981687068939209,10,25,0.2,0.25,1,14
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION,623.3597984089516,0.8747348785400391,10,25,0.2,0.25,1,14
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS,562.408322978454,0.7529685497283936,10,25,0.2,0.25,1,14
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,553.1773656120176,0.926382303237915,10,25,0.2,0.25,1,14
WisdomOfCrowds_GeneticAlgorithm|GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS|GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,670.1674131840081,4.49802827835083,10,25,0.2,0.25,1,14
AVERAGE_FOR_ALGORITHMS,594.9511113597166,1.3232034274509974,10,25,0.2,0.25,1,14
GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS,560.2824962635777,0.6717422008514404,10,25,0.2,0.5,1,14
GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION,551.6330722775601,0.5779886245727539,10,25,0.2,0.5,1,14
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS,504.98171532508445,0.5779881477355957,10,25,0.2,0.5,1,14
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION,551.6579941506263,0.8591721057891846,10,25,0.2,0.5,1,14
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS,637.6812696590083,0.5467450618743896,10,25,0.2,0.5,1,14
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,540.7146479755875,0.9997646808624268,10,25,0.2,0.5,1,14
WisdomOfCrowds_GeneticAlgorithm|GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS|GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,509.31660953372466,5.3268656730651855,10,25,0.2,0.5,1,14
AVERAGE_FOR_ALGORITHMS,550.8954007407384,1.3657523563929967,10,25,0.2,0.5,1,14
GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS,548.075587688622,0.7029571533203125,10,25,0.4,0.01,1,14
GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION,535.7282437360044,0.6561222076416016,10,25,0.4,0.01,1,14
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS,607.9733346942687,0.374910831451416,10,25,0.4,0.01,1,14
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION,661.9368690511009,0.43737173080444336,10,25,0.4,0.01,1,14
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS,570.5693011135997,1.0622470378875732,10,25,0.4,0.01,1,14
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,575.0616471059309,1.3278112411499023,10,25,0.4,0.01,1,14
WisdomOfCrowds_GeneticAlgorithm|GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS|GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,618.0610378791233,3.327366828918457,10,25,0.4,0.01,1,14
AVERAGE_FOR_ALGORITHMS,588.2008601812357,1.126969575881958,10,25,0.4,0.01,1,14
GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS,600.8362211394964,0.6404435634613037,10,25,0.4,0.1,1,14
GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION,580.8403105150477,0.9841713905334473,10,25,0.4,0.1,1,14
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS,546.377171584746,0.7186062335968018,10,25,0.4,0.1,1,14
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION,625.0687972079033,0.546745777130127,10,25,0.4,0.1,1,14
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS,558.3911345383887,0.3436708450317383,10,25,0.4,0.1,1,14
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,564.6028716867846,0.4061143398284912,10,25,0.4,0.1,1,14
