name,result,run_time,population_size_per_genetic_algorithm,epoch_threshold,crossover_probability,mutation_probability,number_of_depots,number_of_customers
GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS,8984.973307082253,16.731238842010498,10,25,0.2,0.01,7,32
GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION,9403.70400867978,9.046797513961792,10,25,0.2,0.01,7,32
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS,9015.60484894761,10.841994762420654,10,25,0.2,0.01,7,32
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION,9242.84427845945,12.967308759689331,10,25,0.2,0.01,7,32
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS,9253.195786782668,10.609587907791138,10,25,0.2,0.01,7,32
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,9117.200433886826,10.314406156539917,10,25,0.2,0.01,7,32
WisdomOfCrowds_GeneticAlgorithm|GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS|GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,7806.609984153209,68.1905996799469,10,25,0.2,0.01,7,32
AVERAGE_FOR_ALGORITHMS,8974.876092570257,19.814561946051462,10,25,0.2,0.01,7,32
GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS,8930.691485270572,14.401472091674805,10,25,0.2,0.1,7,32
GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION,9089.926425444444,11.842349290847778,10,25,0.2,0.1,7,32
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS,9513.699114477004,10.789135694503784,10,25,0.2,0.1,7,32
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION,9430.635521573875,10.834981679916382,10,25,0.2,0.1,7,32
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS,9069.074148444495,11.94108271598816,10,25,0.2,0.1,7,32
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,9303.91203515237,12.592281579971313,10,25,0.2,0.1,7,32
