name,result,run_time,population_size_per_genetic_algorithm,epoch_threshold,crossover_probability,mutation_probability,number_of_depots,number_of_customers
GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS,994.847956670158,0.07642292976379395,5,10,0.2,0.01,3,7
GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION,1109.7266003412683,0.06497359275817871,5,10,0.2,0.01,3,7
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS,1215.798234908487,0.0680391788482666,5,10,0.2,0.01,3,7
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION,959.5395153428715,0.06998562812805176,5,10,0.2,0.01,3,7
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS,1174.646124792256,0.06856131553649902,5,10,0.2,0.01,3,7
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,1182.298787591711,0.06483149528503418,5,10,0.2,0.01,3,7
WisdomOfCrowds_GeneticAlgorithm|GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS|GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,930.0746808722515,0.43784475326538086,5,10,0.2,0.01,3,7
GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS,1136.3631241447924,0.06183671951293945,5,10,0.2,0.1,3,7
GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION,1089.005220036107,0.06286144256591797,5,10,0.2,0.1,3,7
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS,1080.7717778008155,0.0618743896484375,5,10,0.2,0.1,3,7
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION,1261.8982827953523,0.06385636329650879,5,10,0.2,0.1,3,7
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS,1080.540177922924,0.06380200386047363,5,10,0.2,0.1,3,7
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,1059.6632713881054,0.06313347816467285,5,10,0.2,0.1,3,7
WisdomOfCrowds_GeneticAlgorithm|GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS|GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,1253.926285719138,0.41146135330200195,5,10,0.2,0.1,3,7
GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS,1110.4349189354086,0.07083725929260254,5,10,0.2,0.25,3,7
GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION,1273.9546084884678,0.07477331161499023,5,10,0.2,0.25,3,7
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS,1158.1030088344964,0.07177853584289551,5,10,0.2,0.25,3,7
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION,1156.5259599139786,0.07281780242919922,5,10,0.2,0.25,3,7
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS,1006.3024204355114,0.07881593704223633,5,10,0.2,0.25,3,7
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,1162.4223349758654,0.07380223274230957,5,10,0.2,0.25,3,7
WisdomOfCrowds_GeneticAlgorithm|GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS|GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,1094.3322390490196,0.46431493759155273,5,10,0.2,0.25,3,7
GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS,1106.9242990508087,0.07579827308654785,5,10,0.2,0.5,3,7
GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION,1011.7165325041046,0.0838460922241211,5,10,0.2,0.5,3,7
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS,1053.2714496964823,0.08277082443237305,5,10,0.2,0.5,3,7
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION,1055.8601830699527,0.07976150512695312,5,10,0.2,0.5,3,7
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS,1158.6549677714129,0.07679319381713867,5,10,0.2,0.5,3,7
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,1169.1171156921398,0.07779169082641602,5,10,0.2,0.5,3,7
WisdomOfCrowds_GeneticAlgorithm|GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS|GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,1208.9019897479704,0.493649959564209,5,10,0.2,0.5,3,7
GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS,825.6980351641648,0.33612680435180664,5,10,0.4,0.01,3,7
GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION,958.9586798555823,0.22844648361206055,5,10,0.4,0.01,3,7
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS,915.5207898886532,0.41698503494262695,5,10,0.4,0.01,3,7
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION,945.9114000398936,0.21744608879089355,5,10,0.4,0.01,3,7
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS,998.8375195431879,0.2324066162109375,5,10,0.4,0.01,3,7
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,930.9641733145158,0.2204434871673584,5,10,0.4,0.01,3,7
WisdomOfCrowds_GeneticAlgorithm|GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS|GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,1039.1482407632259,1.6135294437408447,5,10,0.4,0.01,3,7
GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS,920.9247889431671,0.29776978492736816,5,10,0.4,0.1,3,7
GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION,983.2813592600357,0.27426624298095703,5,10,0.4,0.1,3,7
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS,953.3564642938904,0.31017017364501953,5,10,0.4,0.1,3,7
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION,998.4062607990047,0.18649983406066895,5,10,0.4,0.1,3,7
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS,903.0644611649705,0.30915260314941406,5,10,0.4,0.1,3,7
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,983.1360563555302,0.20044946670532227,5,10,0.4,0.1,3,7
WisdomOfCrowds_GeneticAlgorithm|GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS|GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,983.9588600395839,1.6720473766326904,5,10,0.4,0.1,3,7
GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS,872.3711921822055,0.3097262382507324,5,10,0.4,0.25,3,7
GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION,1094.0476874365395,0.2563135623931885,5,10,0.4,0.25,3,7
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS,943.1132609208789,0.27526378631591797,5,10,0.4,0.25,3,7
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION,916.3486023851767,0.402813196182251,5,10,0.4,0.25,3,7
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS,959.8174184192196,0.20882654190063477,5,10,0.4,0.25,3,7
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,952.9863674369954,0.24137592315673828,5,10,0.4,0.25,3,7
WisdomOfCrowds_GeneticAlgorithm|GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS|GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS|GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS|GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,976.2220345487917,1.710777759552002,5,10,0.4,0.25,3,7
GA_CrossoverMethods.UNIFORM_MutationMethods.TWORS,984.4174204292324,0.19151663780212402,5,10,0.4,0.5,3,7
GA_CrossoverMethods.UNIFORM_MutationMethods.REVERSE_SEQUENCE_MUTATION,1063.676216775701,0.26130127906799316,5,10,0.4,0.5,3,7
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.TWORS,998.6753080973295,0.26288819313049316,5,10,0.4,0.5,3,7
GA_CrossoverMethods.PARTIALLY_MAPPED_MutationMethods.REVERSE_SEQUENCE_MUTATION,899.4701016714138,0.21349310874938965,5,10,0.4,0.5,3,7
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.TWORS,1042.6528238403994,0.20946860313415527,5,10,0.4,0.5,3,7
GA_CrossoverMethods.ORDERED_CROSSOVER_MutationMethods.REVERSE_SEQUENCE_MUTATION,873.1409771204912,0.28574061393737793,5,10,0.4,0.5,3,7
